"Name","Mittelbreite","Radius","Taillierung","Gewicht","Größen","Preis","Link"
"FACTION AGENT 3X 24/25 SKI DAMEN",106,16,"134, 106, 124",1580,"164, 172, 178","499.00","https://www.sport-conrad.com/produkte/faction/agent-3x.html"
"FACTION AGENT 1 24/25 SKI",86,18,"120, 86, 110",1490,"162, 186","399.00","https://www.sport-conrad.com/produkte/faction/agent-1-sc.html"
"FACTION DANCER 3 24/25 SKI",106,21,"134, 106, 124",2100,"164, 172, 178","499.00","https://www.sport-conrad.com/produkte/faction/dancer-3-sc.html"
"FACTION AGENT 1X 24/25 SKI DAMEN",86,14,"120, 86, 110",1290,"162, 170","399.00","https://www.sport-conrad.com/produkte/faction/agent-1x-sc.html"
"FACTION STUDIO 3 24/25 SKI",112,184,"140, 112, 134",1990,"190","449.00","https://www.sport-conrad.com/produkte/faction/studio-3.html"
"FACTION PRODIGY 3 24/25 SKI",106,20,"133, 106, 125",2100,"172, 178, 184, 190","399.00","https://www.sport-conrad.com/produkte/faction/prodigy-3-sc-1.html"
"FACTION STUDIO 2 24/25 SKI",102,20,"131, 102, 127",1880,"188","449.00","https://www.sport-conrad.com/produkte/faction/studio-2.html"
"NORDICA UNLEASHED 90 24/25 SKI",90,154,"122, 90, 111",1445,"152, 160","239.00","https://www.sport-conrad.com/produkte/nordica/unleashed-90-sc-3.html"
"LINE BLADE W 23/24 SKI",92,14,"140, 92, 114",1650,"153","299.00","https://www.sport-conrad.com/produkte/line/blade-w-sc-1.html"
"ROSSIGNOL SENDER SOUL 92 24/25 SKI",92,16,"122, 92, 112",1400,"166, 176","379.00","https://www.sport-conrad.com/produkte/rossignol/sender-soul-92.html"
"BLACK CROWS SOLIS 24/25 SKI",100,25,"126, 100, 108",1800,"173, 180","948.95","https://www.sport-conrad.com/produkte/black-crows/solis.html"
"BLACK CROWS OCTO BIRDIE 24/25 SKI DAMEN",84,14,"126, 84, 113",1525,"155, 161, 167, 173","749.00","https://www.sport-conrad.com/produkte/black-crows/octo-birdie.html"
"BLACK CROWS ANIMA 24/25 SKI",115,19,"144, 115, 134",2250,"176, 182, 189, 194","829.00","https://www.sport-conrad.com/produkte/black-crows/anima-sc-1.html"
"LINE CHRONIC 101 24/25 SKI",101,166,"130, 101, 124",2030,"165, 172, 179, 186","359.00","https://www.sport-conrad.com/produkte/line/chronic-101-sc.html"
"FACTION DANCER GROM 24/25 SKI",92,12,"123, 92, 113",1500,"146, 155","249.00","https://www.sport-conrad.com/produkte/faction/dancer-grom.html"
"K2 RECKONER 102 24/25 SKI",102,177,"134, 102, 127",1800,"170, 177, 191","349.00","https://www.sport-conrad.com/produkte/k2/reckoner-102-sc-3.html"
"LINE VISION 98 23/24 SKI",98,18,"131, 98, 119",1515,"186","299.00","https://www.sport-conrad.com/produkte/line/vision-98-sc.html"
"SALOMON QST 92 22/23 SKI",92,15,"128, 92, 116",1800,"160, 168, 176, 184","299.00","https://www.sport-conrad.com/produkte/salomon/qst-92.html"
"K2 MINDBENDER 89TI 24/25 SKI",89,154,"130, 89, 114",2050,"170, 176, 182","399.00","https://www.sport-conrad.com/produkte/k2/mindbender-89ti-sc-1.html"
"FACTION PRODIGY 2 24/25 SKI",98,20,"127, 98, 119",1860,"159, 165, 171, 177, 183, 189","339.00","https://www.sport-conrad.com/produkte/faction/prodigy-2-sc-2.html"
"FISCHER RANGER 102 24/25 SKI",102,18,"137, 102, 127",1900,"155, 162, 176, 190","549.00","https://www.sport-conrad.com/produkte/fischer/ranger-102-sc-1.html"
"FACTION STUDIO GROM 24/25 SKI KINDER",96,12,"127, 96, 123",1350,"139, 149","199.00","https://www.sport-conrad.com/produkte/faction/studio-grom.html"
"NORDICA ENFORCER 80S 24/25 SKI KINDER",80,14,"114, 80, 99",1180,"130, 140","239.00","https://www.sport-conrad.com/produkte/nordica/enforcer-80s.html"
"FISCHER RANGER 84 24/25 SKI",84,15,"117, 84, 107",1850,"153, 167","399.00","https://www.sport-conrad.com/produkte/fischer/ranger-84-sc-2.html"
"BLIZZARD ANOMALY 102 24/25 SKI",102,24,"136, 102, 123",2240,"176, 182, 188, 192","499.00","https://www.sport-conrad.com/produkte/blizzard/anomaly-102.html"
